geohash,deposit,instrength,outstrength,indegree,outdegree,pagerank,fence_center
ws7fzr,2.0,0,0,0,0,0.0005548779001186047,[ 24.527352   118.10321675]
ws7fzx,37.0,0,0,0,0,0.0005548779001186047,[ 24.5270205 118.10297  ]
ws7fzy,-2.0,0,0,0,0,0.0005548779001186047,[ 24.5269695  118.10293325]
ws7fzz,23.0,1,1,1,1,0.012964985035165308,[ 24.526857  118.1030405]
ws7gnc,-4.0,0,0,0,0,0.0005548779001186047,[ 24.5212235 118.101761 ]
ws7gnf,-9.0,9,6,3,2,0.011243098771118062,[ 24.48852763 118.09136186]
ws7gng,-161.0,9,18,4,6,0.008891142795115199,[ 24.48775765 118.09150371]
ws7gns,131.0,10,10,4,9,0.007208545347693973,[ 24.4894048  118.09392049]
ws7gnt,39.0,9,4,7,4,0.0177563829101673,[ 24.48783733 118.09430453]
ws7gnu,-25.0,1,0,1,0,0.002925316259004668,[ 24.46302473 118.09635938]
ws7gnv,-183.0,14,16,8,8,0.01556555301208633,[ 24.50045849 118.18401194]
ws7gnw,46.0,4,1,3,1,0.06841308368986848,[ 24.43978555 118.08691344]
ws7gnx,0.0,1,0,1,0,0.0013251664804729006,[ 24.46898551 118.11708994]
ws7gny,33.0,11,7,8,5,0.0134497153615607,[ 24.47436922 118.11493246]
ws7gnz,26.0,0,0,0,0,0.0005548779001186047,[ 24.48453628 118.10628614]
ws7gp0,84.0,3,2,2,2,0.008022228518633078,[ 24.48292227 118.10503951]
ws7gp1,-28.0,6,5,4,2,0.007510854980696279,[ 24.47865125 118.12397389]
ws7gp2,-9.0,0,0,0,0,0.0005548779001186047,[ 24.47659781 118.12764362]
ws7gp4,-94.0,0,2,0,2,0.0005548779001186047,[ 24.47814252 118.12918206]
ws7gp5,33.0,3,0,2,0,0.003877234133923688,[ 24.48627408 118.07433401]
ws7gp8,-18.0,1,1,1,1,0.012964985035165308,[ 24.49067261 118.07586978]
ws7gpb,-54.0,0,1,0,1,0.0005548779001186047,[ 24.49925575 118.0802012 ]
ws7gpc,-6.0,1,0,1,0,0.0010869426813468947,[ 24.50150175 118.08110321]
ws7gph,25.0,6,3,3,2,0.00436318540927024,[ 24.48123543 118.07321779]
ws7gpj,-178.0,8,14,5,6,0.009053767065420194,[ 24.50525157 118.0836372 ]
ws7gpm,-125.0,1,3,1,3,0.0008155637394393112,[ 24.50134353 118.08105196]
ws7gpn,108.0,10,7,6,5,0.01170957570367667,[ 24.53649883 118.10603956]
ws7gpp,60.0,4,3,4,3,0.007397166773568396,[ 24.50497121 118.12415789]
ws7gpq,-317.0,14,13,7,6,0.014798589250690499,[ 24.50509462 118.12508239]
ws7gpr,362.0,16,7,11,4,0.018535254168657325,[ 24.5090415 118.1246245]
ws7gps,-18.0,0,2,0,2,0.0005548779001186047,[ 24.48577114 118.14752675]
ws7gpt,-78.0,0,5,0,4,0.0005548779001186047,[ 24.49143104 118.14903905]
ws7gpw,47.0,13,8,6,5,0.0071842294734026264,[ 24.49534657 118.14951448]
ws7gpx,82.0,14,24,6,7,0.0113223909771069,[ 24.48213625 118.147357  ]
ws7gpy,-74.0,3,0,2,0,0.0026137644964236086,[ 24.50385463 118.15438352]
ws7gpz,-223.0,9,12,4,5,0.005947469173341133,[ 24.50516339 118.15455417]
ws7gqb,-54.0,5,5,5,5,0.00860085015321301,[ 24.51505907 118.15373076]
ws7gqc,-17.0,5,5,4,3,0.009110117999527585,[ 24.51612244 118.15348452]
ws7gqf,-11.0,6,8,2,4,0.0045746381019412825,[ 24.53038825 118.14915225]
ws7gqg,-26.0,0,2,0,2,0.0005548779001186047,[ 24.52153663 118.1521418 ]
ws7gqu,0.0,0,0,0,0,0.0005548779001186047,[ 24.53281305 118.14813801]
ws7gr0,45.0,4,8,4,5,0.003747005037430506,[ 24.53591245 118.14683439]
ws7gr1,-79.0,13,12,3,4,0.0020999337859740823,[ 24.53808541 118.14597538]
ws7gr2,-56.0,0,0,0,0,0.0005548779001186047,[ 24.44557099 118.14660891]
ws7gr3,59.0,14,8,8,6,0.014447295100116754,[ 24.44152685 118.1480862 ]
ws7gr4,23.0,4,0,4,0,0.004274411002089327,[ 24.45532523 118.14833852]
ws7gr5,-26.0,1,1,1,1,0.0018692440114501804,[ 24.47819914 118.14256428]
ws7gr6,-200.0,3,6,3,6,0.0020049197663731286,[ 24.4967146  118.18501548]
ws7gr7,-14.0,2,3,1,2,0.0010659945354296772,[ 24.51186957 118.16109537]
ws7gr8,-189.0,18,15,8,8,0.008159853176394082,[ 24.51875593 118.15801681]
ws7gr9,-232.0,10,11,8,7,0.00957699707394459,[ 24.52390339 118.16617557]
ws7grb,86.0,7,7,5,6,0.005727183515516381,[ 24.52737575 118.16673087]
ws7grc,-2.0,7,7,6,5,0.0072338734877538,[ 24.51375214 118.16986226]
ws7grd,292.0,10,12,6,8,0.005408584691390807,[ 24.51804119 118.17589554]
ws7gre,1.0,6,7,3,6,0.002998480028815751,[ 24.52236616 118.17966224]
ws7grf,29.0,16,16,9,8,0.009931392327182523,[ 24.52572506 118.18176609]
ws7grg,-75.0,10,8,6,4,0.00640180172208409,[ 24.52700474 118.18198023]
ws7grh,1.0,0,0,0,0,0.0005548779001186047,[ 24.53387018 118.18012465]
